cell_type_name,female_n,female_broad_class,male_n,male_cell_type,male_superclass
AN_4_None,168,sensory neuron,0,,
SNppxx,148,sensory neuron,0,,
SNxxxx,142,sensory neuron,0,,
SNxx03,126,sensory neuron,0,,
CB3830,120,CNS neuron,0,,
SNch05,116,sensory neuron,0,,
CB3819,105,CNS neuron,0,,
Dm3,103,CNS neuron,0,,
TmY18,99,CNS neuron,0,,
SNta29,95,sensory neuron,0,,
SNpp39,94,sensory neuron,0,,
SNta37,93,sensory neuron,0,,
SNxx04,87,sensory neuron,0,,
PFNp_b,86,,0,,
SNpp50,85,sensory neuron,0,,
SNpp45,78,sensory neuron,0,,
JO-E,77,sensory neuron,0,,
SNta44,74,sensory neuron,0,,
SNpp60,71,sensory neuron,0,,
CB3848,69,CNS neuron,0,,
JO-F,69,sensory neuron,0,,
SNta20,64,sensory neuron,0,,
mAL,64,,0,,
SNta43,61,sensory neuron,0,,
SNta38,60,sensory neuron,0,,
SNch10,57,sensory neuron,0,,
SNta21,57,sensory neuron,0,,
PFNp_a,55,,0,,
SNpp47,54,sensory neuron,0,,
Acc. ti flexor MN,52,efferent neuron,0,,
SNxx05,52,sensory neuron,0,,
CB3828,50,CNS neuron,0,,
SNpp52,49,sensory neuron,0,,
CB3823,46,,0,,
SNta30,44,sensory neuron,0,,
TPMN,43,sensory neuron,0,,
AMMC B1,42,CNS neuron,0,,
SNpp41,42,sensory neuron,0,,
SNta45,40,sensory neuron,0,,
SNta42,39,sensory neuron,0,,
SNxx06,38,sensory neuron,0,,
SNch06,37,sensory neuron,0,,
SNta28,37,sensory neuron,0,,
PFNp_d,35,,0,,
SNta32,35,sensory neuron,0,,
SNta39,35,sensory neuron,0,,
Tm6,34,CNS neuron,0,,
JO-EDM,33,sensory neuron,0,,
Tr flexor MN,33,efferent neuron,0,,
IN19A117,32,CNS neuron,0,,
SNch09,32,sensory neuron,0,,
SNta34,32,sensory neuron,0,,
SNta35,32,sensory neuron,0,,
AN_GNG_165,31,sensory neuron,0,,
SLPa&l1_anterior__0,31,,0,,
SNpp19,31,sensory neuron,0,,
SNta04,31,sensory neuron,0,,
JO-EVM,30,sensory neuron,0,,
SNch11,30,sensory neuron,0,,
SNpp43,30,sensory neuron,0,,
PFNp_e,29,,0,,
SNta09,29,sensory neuron,0,,
SApp08,28,sensory neuron,0,,
SNpp51,28,sensory neuron,0,,
SApp10,27,sensory neuron,0,,
SNpp59,27,sensory neuron,0,,
SNta23,27,sensory neuron,0,,
BM_Ant,26,sensory neuron,0,,
BM_dPoOr,26,sensory neuron,0,,
IN19A060,26,,0,,
INXXX258,26,,0,,
SApp07,26,sensory neuron,0,,
SNxx01,26,sensory neuron,0,,
FS1A,25,,0,,
IN03B060,25,,0,,
SApp09,25,sensory neuron,0,,
SNch01,25,sensory neuron,0,,
