cell_type_name,female_n,female_broad_class,male_n,male_cell_type,male_superclass
R1-6,6,CNS neuron,3377,R1-R6,ol_sensory
KCab,653,CNS neuron,1681,KCab-s,cb_intrinsic
KCg-m,894,CNS neuron,1346,KCg-m,cb_intrinsic
Tm3,92,CNS neuron,2054,Tm3,ol_intrinsic
Tm9,337,CNS neuron,1771,Tm9,ol_intrinsic
Mi9,220,CNS neuron,1775,Mi9,ol_intrinsic
T3,10,CNS neuron,1940,T3,ol_intrinsic
Tm1,161,CNS neuron,1777,Tm1,ol_intrinsic
T4b,247,CNS neuron,1690,T4b,ol_intrinsic
Mi4,114,CNS neuron,1772,Mi4,ol_intrinsic
T2a,13,CNS neuron,1872,T2a,ol_intrinsic
T4c,88,CNS neuron,1778,T4c,ol_intrinsic
T5c,145,CNS neuron,1720,T5c,ol_intrinsic
Tm2,98,CNS neuron,1766,Tm2,ol_intrinsic
Mi1,79,CNS neuron,1773,Mi1,ol_intrinsic
T5b,130,CNS neuron,1715,T5b,ol_intrinsic
Tm20,64,CNS neuron,1762,Tm20,ol_intrinsic
T4a,129,CNS neuron,1684,T4a,ol_intrinsic
T4d,100,CNS neuron,1710,T4d,ol_intrinsic
T5a,130,CNS neuron,1664,T5a,ol_intrinsic
C3,13,CNS neuron,1779,C3,ol_intrinsic
L5,4,CNS neuron,1788,L5,ol_intrinsic
L2,2,,1779,L2,ol_intrinsic
L1,2,CNS neuron,1776,L1,ol_intrinsic
T1,1,CNS neuron,1777,T1,ol_intrinsic
L3,1,,1772,L3,ol_intrinsic
C2,11,CNS neuron,1745,C2,ol_intrinsic
T5d,102,CNS neuron,1620,T5d,ol_intrinsic
Tm4,45,CNS neuron,1670,Tm4,ol_intrinsic
T2,27,CNS neuron,1630,T2,ol_intrinsic
BM_InOm,870,sensory neuron,706,BM_InOm,cb_sensory
Dm2,102,CNS neuron,1452,Dm2,ol_intrinsic
TmY5a,22,CNS neuron,1364,TmY5a,ol_intrinsic
Tm27,3,,1367,TmY18,ol_intrinsic
R8,31,sensory neuron,1329,R8y,ol_sensory
R7,37,sensory neuron,1300,R7y,ol_sensory
Dm3p,5,,1204,Dm3a,ol_intrinsic
Mi15,22,CNS neuron,1151,Mi15,ol_intrinsic
Dm3q,4,,1136,Dm3b,ol_intrinsic
Mi2,40,CNS neuron,986,Mi2,ol_intrinsic
Mi13,41,CNS neuron,910,Mi13,ol_intrinsic
Tm5f,3,,898,Tm5Y,ol_intrinsic
TmY3,10,CNS neuron,824,TmY3,ol_intrinsic
Dm3v,5,,787,Dm3c,ol_intrinsic
Tm5c,34,CNS neuron,750,Tm5c,ol_intrinsic
LC12,240,CNS neuron,498,LC12,visual_projection
Tm5a,28,CNS neuron,624,Tm5a,ol_intrinsic
Y3,15,,627,Y3,ol_intrinsic
Dm10,1,CNS neuron,626,Dm10,ol_intrinsic
Tm5e,14,,559,Tm37,ol_intrinsic
Tm5d,19,,544,Tm29,ol_intrinsic
TmY10,4,,552,TmY10,ol_intrinsic
Tm5b,20,,522,Tm5b,ol_intrinsic
TmY14,42,,477,TmY14,visual_projection
TmY9q,2,,515,TmY9b,ol_intrinsic
Dm15,5,CNS neuron,485,Dm15,ol_intrinsic
LC17,134,CNS neuron,353,LC17,visual_projection
Sm02,4,,472,Cm1,ol_intrinsic
TmY9q__perp,2,,471,TmY9a,ol_intrinsic
LLPC1,183,CNS neuron,285,LLPC1,visual_projection
Tm7,25,,426,Tm39,ol_intrinsic
LLPC2,195,CNS neuron,250,LLPC2,visual_projection
TmY31,2,,395,TmY17,ol_intrinsic
Sm01,2,,383,Cm2,ol_intrinsic
KCapbp-ap1,180,CNS neuron,197,KCa'b'-ap1,cb_intrinsic
Tm36,3,,372,TmY21,ol_intrinsic
LC10a,85,CNS neuron,275,LC10a,visual_projection
LPC1,124,CNS neuron,224,LPC1,visual_projection
KCapbp-ap2,55,CNS neuron,291,KCa'b'-ap2,cb_intrinsic
Li01,105,,232,Li22,ol_intrinsic
Sm07,9,,323,Cm3,ol_intrinsic
MeTu1,76,CNS neuron,250,MeTu1,visual_projection
KCapbp-m,118,CNS neuron,205,KCa'b'-m,cb_intrinsic
LC10c,66,CNS neuron,255,LC10c-1,visual_projection
LC13,143,,177,LC13,visual_projection
Mi14,3,,315,Mi14,ol_intrinsic
KCg-d,105,CNS neuron,206,KCg-d,cb_intrinsic
LC16,127,CNS neuron,182,LC16,visual_projection
LLPC3,88,,219,LLPC3,visual_projection
LC18,98,CNS neuron,208,LC18,visual_projection
LC9,87,CNS neuron,219,LC9,visual_projection
LC10d,82,CNS neuron,214,LC10d,visual_projection
Tm37,3,,280,Tm33,ol_intrinsic
Dm12,3,CNS neuron,276,Dm12,ol_intrinsic
Dm9,1,CNS neuron,273,Dm9,ol_intrinsic
LPLC2,74,CNS neuron,185,LPLC2,visual_projection
Sm03,5,,251,Cm4,ol_intrinsic
Li05,48,,207,Li21,ol_intrinsic
Li10,38,,217,Li14,ol_intrinsic
Pm01,6,CNS neuron,246,Pm1,ol_intrinsic
Li06,1,,245,Tm24,ol_intrinsic
BM_vOcci_vPoOr,198,sensory neuron,26,BM_vOcci_vPoOr,cb_sensory
Pm03,5,,219,Pm2a,ol_intrinsic
LC15,96,,126,LC15,visual_projection
Sm08,8,,214,Cm5,ol_intrinsic
LC11,75,CNS neuron,143,LC11,visual_projection
ORN_DA1,14,sensory neuron,204,ORN_DA1,cb_sensory
Sm06,6,,211,Cm6,ol_intrinsic
LB3,128,sensory neuron,87,LB3d,cb_sensory
LC21,60,CNS neuron,153,LC21,visual_projection
Y4,3,,208,Y14,ol_intrinsic
ORN_VA1v,76,sensory neuron,130,ORN_VA1v,cb_sensory
Y1,9,,193,Y13,ol_intrinsic
MeTu3c,23,,173,MeTu3c,visual_projection
Sm05,4,,191,Mi16,ol_intrinsic
Y12,9,,186,Y12,ol_intrinsic
LC4,68,CNS neuron,126,LC4,visual_projection
LPC2,38,CNS neuron,154,LPC2,visual_projection
Sm04,1,,189,Mi17,ol_intrinsic
Sm12,7,,182,Cm8,ol_intrinsic
Sm09,4,,184,Cm7,ol_intrinsic
