cell_type_name,female_n,female_broad_class,male_n,male_cell_type,male_superclass
L4,0,,1770,L4,ol_intrinsic
Tm21,0,,1526,Tm6,ol_intrinsic
Tm25,0,,967,Tm12,ol_intrinsic
yDm8,0,,572,Dm8a,ol_intrinsic
TmY4,0,,562,TmY4,ol_intrinsic
pDm8,0,,532,Dm8b,ol_intrinsic
Mi10,0,,444,Mi10,ol_intrinsic
TmY11,0,,432,TmY13,ol_intrinsic
Tm16,0,,396,Tm16,ol_intrinsic
Lawf2,0,,383,Lawf2,ol_intrinsic
Lawf1,0,,361,Lawf1,ol_intrinsic
TmY20,0,,343,TmY20,ol_intrinsic
PFNp,0,,290,PFNp_b,cb_intrinsic
Tm8a,0,,223,Tm38,ol_intrinsic
TmY15,0,,209,TmY15,ol_intrinsic
Tm40,0,,180,Tm40,ol_intrinsic
Pm05,0,,168,Pm4,ol_intrinsic
Dm16,0,,151,Dm16,ol_intrinsic
Tm33,0,,125,Tm32,ol_intrinsic
Tm35,0,,120,Tm31,ol_intrinsic
MLt2,0,,107,MeLo3a,ol_intrinsic
Dm4,0,,99,Dm4,ol_intrinsic
Lai,0,,84,Lai,ol_intrinsic
LMa5,0,,82,MeLo9,ol_intrinsic
MLt5,0,,81,MeLo3b,ol_intrinsic
JO-FV,0,,70,JO-FV,cb_sensory
"BM_Ant,BM_Fr,BM_FrOr,BM_InOc,BM_Oc,BM_Or,BM_Vib",0,,69,BM,cb_sensory
Sm32,0,,69,Mi18,ol_intrinsic
MLt6,0,,68,MeLo4,ol_intrinsic
"FC1A,FC1B,FC1F",0,,54,FC1B,cb_intrinsic
JO-EV1,0,,50,JO-EV1,cb_sensory
Pm06,0,,50,Pm6,ol_intrinsic
claw_tpGRN,0,,50,claw_tpGRN,cb_sensory
PFNm,0,,48,PFNm_b,cb_intrinsic
TPMN1,0,,48,TPMN1,cb_sensory
JO-EV3,0,,45,JO-EV3,cb_sensory
ER2,0,,41,ER2_c,cb_intrinsic
Pm07,0,,39,Pm8,ol_intrinsic
JO-ED2_a,0,,38,JO-ED2_a,cb_sensory
MLt8,0,,37,MeLo5,ol_intrinsic
JO-EV2,0,,36,JO-EV2,cb_sensory
LMa3,0,,36,TmY19b,ol_intrinsic
"TuBu09,TuBu10",0,,36,TuBu09,cb_intrinsic
Dm14,0,,34,Dm14,ol_intrinsic
DmDRA2,0,,33,Dm-DRA2,ol_intrinsic
"FS1A_b,FS1A_c",0,,31,FS1A_c,cb_intrinsic
"PVLP004,PVLP005",0,,31,PVLP004,cb_intrinsic
Sm27,0,,31,Cm17,ol_intrinsic
Dm19,0,,30,Dm19,ol_intrinsic
ER3a,0,,30,ER3a_a,cb_intrinsic
ER3w,0,,30,ER3w_b,cb_intrinsic
Sm31,0,,30,Cm19,ol_intrinsic
ER1,0,,28,ER1_b,cb_intrinsic
"vDeltaG,vDeltaH",0,,27,vDeltaG,cb_intrinsic
"LTe49a,LTe49b,LTe49d,LTe49e,LTe49f",0,,26,LoVP27,visual_projection
AOTU008,0,,25,AOTU008,cb_intrinsic
"BM_dOcci,BM_dPoOr",0,,25,,cb_sensory
"DNg08_a,DNg08_b",0,,23,DNg08,descending_neuron
JO-EV5,0,,23,JO-EV5,cb_sensory
CB1617,0,,22,CB1617,cb_intrinsic
Li21,0,,22,Li17,ol_intrinsic
CB1178,0,,21,CB1178,cb_intrinsic
CB4072,0,,21,CB4072,cb_intrinsic
ER5,0,,21,ER5,cb_intrinsic
JO-ED2_b,0,,21,JO-ED2_b,cb_sensory
JO-EV6,0,,21,JO-EV6,cb_sensory
aPhM1,0,,21,aPhM1,cb_sensory
CB4091,0,,20,CB4091,cb_intrinsic
CB4129,0,,20,CB4129,cb_intrinsic
CB4156,0,,20,SMP167,cb_intrinsic
FB9B,0,,20,FB9B_a,cb_intrinsic
vDeltaI_b,0,,20,vDeltaI_b,cb_intrinsic
CB4070,0,,19,CB4070,cb_intrinsic
CB4083,0,,19,CB4083,cb_intrinsic
CB4108,0,,19,PRW006,cb_intrinsic
CB4116,0,,19,CB4116,cb_intrinsic
CB4126,0,,19,SMP297,cb_intrinsic
LB1e,0,,19,LB1e,cb_sensory
CB1964,0,,18,CB1964,cb_intrinsic
CB4120,0,,18,CB4120,cb_intrinsic
CB4148,0,,18,GNG643,cb_sensory
ER3p,0,,18,ER3p_a,cb_intrinsic
JO-B1_a,0,,18,JO-B1_a,cb_sensory
JO-ED1,0,,18,JO-ED1,cb_sensory
"VS1,VS2,VS3,VS4,VS5,VS6,VS7,VS8",0,,18,VS,visual_projection
"CB1761,CB2741",0,,17,LAL067,cb_intrinsic
CB1786_a,0,,17,CB1786_a,cb_intrinsic
CB4133,0,,17,CB4133,cb_intrinsic
"LHAD1b2_a,LHAD1b2_c",0,,17,CB4208,cb_intrinsic
vDeltaI_a,0,,17,vDeltaI_a,cb_intrinsic
"CB1508,CB2021",0,,16,,cb_intrinsic
CB4118,0,,16,CB4118,cb_intrinsic
"CL123,CRE061",0,,16,CL123_a,cb_intrinsic
"ER3d_a,ER3d_c",0,,16,ER3d_c,cb_intrinsic
FS1A_a,0,,16,FS1A_a,cb_intrinsic
FS1B_b,0,,16,FS1B_b,cb_intrinsic
IPC,0,,16,IPC,cb_endocrine
"LAL096,LAL097",0,,16,LAL096,cb_intrinsic
"LB1a,LB1d",0,,16,LB1a,cb_sensory
LB1c,0,,16,LB1c,cb_sensory
"PLP188,PLP189",0,,16,PLP188,cb_intrinsic
"AVLP190,AVLP191",0,,15,AVLP191,cb_intrinsic
"CB2293,CB2776,CB2781",0,,15,,cb_intrinsic
CB4069,0,,15,CL225,cb_intrinsic
CB4073,0,,15,CB4073,cb_intrinsic
CB4107,0,,15,CB4107,cb_intrinsic
CB4138,0,,15,CB4138,cb_intrinsic
"FB3B,FB3C,FB3E",0,,15,FB3C,cb_intrinsic
FB4Z,0,,15,FB4Z_a,cb_intrinsic
"CB1335,CB2738,CB1341",0,,14,,cb_intrinsic
"CB2926,CB1199,CB3699",0,,14,GNG237,cb_intrinsic
CB4066,0,,14,CB4066,cb_intrinsic
CB4071,0,,14,CB4071,cb_intrinsic
CB4081,0,,14,CB4081,cb_intrinsic
CB4084,0,,14,CB4084,cb_intrinsic
CB4109,0,,14,PRW005,cb_intrinsic
CB4110,0,,14,CB4110,cb_intrinsic
CB4242,0,,14,CB4242,cb_intrinsic
JO-ED2_c,0,,14,JO-ED2_c,cb_sensory
Lat,0,,14,Lat1,visual_centrifugal
"SIP078,SIP080",0,,14,SIP078,cb_intrinsic
SMP106,0,,14,SMP106,cb_intrinsic
CB1738,0,,13,AVLP279,cb_intrinsic
CB4096,0,,13,CB4096,cb_intrinsic
FS1B_a,0,,13,FS1B_a,cb_intrinsic
JO-A2,0,,13,JO-A2,cb_sensory
"LAL028,LAL029",0,,13,LAL028,cb_intrinsic
"CB0007,CB0739",0,,12,AOTU016_b,cb_intrinsic
CB0958c,0,,12,AMMC005,cb_intrinsic
"CB1371,CB3522",0,,12,SLP021,cb_intrinsic
"CB1395,CB2334",0,,12,AVLP480,cb_intrinsic
"CB1501,CB3182",0,,12,,cb_intrinsic
"CB1618,CB3330",0,,12,aIPg7,cb_intrinsic
"CB1791,CB3118",0,,12,SMP228,cb_intrinsic
CB1824,0,,12,CB1824,cb_intrinsic
"CB2108,CB2449",0,,12,WED063_b,cb_intrinsic
"CB2835,CB3123",0,,12,,cb_intrinsic
"CB3111,CB2308",0,,12,,cb_intrinsic
CB3983,0,,12,AVLP038,cb_intrinsic
CB4060,0,,12,PS357,cb_intrinsic
CB4067,0,,12,GNG326,cb_intrinsic
CB4078,0,,12,PRW007,cb_intrinsic
CB4119,0,,12,CB4119,cb_intrinsic
CB4127,0,,12,CB4127,cb_intrinsic
CB4128,0,,12,CB4128,cb_intrinsic
CB4155,0,,12,CB4155,cb_intrinsic
CB4199,0,,12,SMP403,cb_intrinsic
