cell_type_name,female_n,female_broad_class,male_n,male_cell_type,male_superclass,category
AN_4_None,168,sensory neuron,0,,,female_specific
SNppxx,148,sensory neuron,0,,,female_specific
SNxxxx,142,sensory neuron,0,,,female_specific
SNxx03,126,sensory neuron,0,,,female_specific
CB3830,120,CNS neuron,0,,,female_specific
SNch05,116,sensory neuron,0,,,female_specific
CB3819,105,CNS neuron,0,,,female_specific
Dm3,103,CNS neuron,0,,,female_specific
TmY18,99,CNS neuron,0,,,female_specific
SNta29,95,sensory neuron,0,,,female_specific
SNpp39,94,sensory neuron,0,,,female_specific
SNta37,93,sensory neuron,0,,,female_specific
SNxx04,87,sensory neuron,0,,,female_specific
PFNp_b,86,,0,,,female_specific
SNpp50,85,sensory neuron,0,,,female_specific
SNpp45,78,sensory neuron,0,,,female_specific
JO-E,77,sensory neuron,0,,,female_specific
SNta44,74,sensory neuron,0,,,female_specific
SNpp60,71,sensory neuron,0,,,female_specific
CB3848,69,CNS neuron,0,,,female_specific
JO-F,69,sensory neuron,0,,,female_specific
SNta20,64,sensory neuron,0,,,female_specific
mAL,64,,0,,,female_specific
SNta43,61,sensory neuron,0,,,female_specific
SNta38,60,sensory neuron,0,,,female_specific
SNch10,57,sensory neuron,0,,,female_specific
SNta21,57,sensory neuron,0,,,female_specific
PFNp_a,55,,0,,,female_specific
SNpp47,54,sensory neuron,0,,,female_specific
Acc. ti flexor MN,52,efferent neuron,0,,,female_specific
SNxx05,52,sensory neuron,0,,,female_specific
CB3828,50,CNS neuron,0,,,female_specific
SNpp52,49,sensory neuron,0,,,female_specific
CB3823,46,,0,,,female_specific
SNta30,44,sensory neuron,0,,,female_specific
TPMN,43,sensory neuron,0,,,female_specific
AMMC B1,42,CNS neuron,0,,,female_specific
SNpp41,42,sensory neuron,0,,,female_specific
SNta45,40,sensory neuron,0,,,female_specific
SNta42,39,sensory neuron,0,,,female_specific
SNxx06,38,sensory neuron,0,,,female_specific
SNch06,37,sensory neuron,0,,,female_specific
SNta28,37,sensory neuron,0,,,female_specific
PFNp_d,35,,0,,,female_specific
SNta32,35,sensory neuron,0,,,female_specific
SNta39,35,sensory neuron,0,,,female_specific
Tm6,34,CNS neuron,0,,,female_specific
JO-EDM,33,sensory neuron,0,,,female_specific
Tr flexor MN,33,efferent neuron,0,,,female_specific
IN19A117,32,CNS neuron,0,,,female_specific
SNch09,32,sensory neuron,0,,,female_specific
SNta34,32,sensory neuron,0,,,female_specific
SNta35,32,sensory neuron,0,,,female_specific
AN_GNG_165,31,sensory neuron,0,,,female_specific
SLPa&l1_anterior__0,31,,0,,,female_specific
SNpp19,31,sensory neuron,0,,,female_specific
SNta04,31,sensory neuron,0,,,female_specific
JO-EVM,30,sensory neuron,0,,,female_specific
SNch11,30,sensory neuron,0,,,female_specific
SNpp43,30,sensory neuron,0,,,female_specific
PFNp_e,29,,0,,,female_specific
SNta09,29,sensory neuron,0,,,female_specific
SApp08,28,sensory neuron,0,,,female_specific
SNpp51,28,sensory neuron,0,,,female_specific
SApp10,27,sensory neuron,0,,,female_specific
SNpp59,27,sensory neuron,0,,,female_specific
SNta23,27,sensory neuron,0,,,female_specific
BM_Ant,26,sensory neuron,0,,,female_specific
BM_dPoOr,26,sensory neuron,0,,,female_specific
IN19A060,26,,0,,,female_specific
INXXX258,26,,0,,,female_specific
SApp07,26,sensory neuron,0,,,female_specific
SNxx01,26,sensory neuron,0,,,female_specific
FS1A,25,,0,,,female_specific
IN03B060,25,,0,,,female_specific
SApp09,25,sensory neuron,0,,,female_specific
SNch01,25,sensory neuron,0,,,female_specific
SNpp40,25,sensory neuron,0,,,female_specific
SNpp58,25,sensory neuron,0,,,female_specific
